Total QI locked,"72,311,886",,,,,,,
"QI locked, not counting liquid lockers","65,758,243",,,,,,,
QI locked by liquid lockers,"6,553,642",,,,,,,
Total QI to be distributed (80%),"57,849,509",,,,,,,
Total BPT tokens for aveQI migration,"9,052,921",,,,,,,
Share of BPTs distributed to non-liquid lockers,90.94%,,,,,,,
Share of BPTs distributed to liquid lockers,9.06%,,,,,,,
Total BPT tokens distributed to non-liquid lockers,"8,232,453",,,,,,,
Total BPT tokens distributed to liquid lockers,"820,468",,,,,,,
,,,,,,,,
address,polygon endblock,amount,share of total BPTs,share of non-liquid locker BPTs,share of liquid locker BPTs,amount of non-liquid locker distribution,amount of liquid locker distribution,type
0x073aba73177668ba1c6661a4ccddbf77dfc8809a,85191939,"24,062.24",0.0332756%,0.0365920%,NA,"3,012.4165990",,EOA
0x0621e9d8f6ac96098cdf413289c5e11b9130309a,23683689,"23,804.28",0.0329189%,0.0361997%,NA,"2,980.1225626",,EOA
0x3fa05ef7652ad855facbec056a5889a64e366e2d,49980379,"23,700.00",0.0327747%,0.0360411%,NA,"2,967.0672833",,EOA
0x3a1bbd14c1c0e2ebf7cd906961d122dadd5448a7,81872081,"23,083.39",0.0319220%,0.0351034%,NA,"2,889.8722088",,EOA
0x926253f534ff911348c5271b7c380884cab648ad,84868562,"23,024.15",0.0318401%,0.0350133%,NA,"2,882.4557693",,EOA
0x78e87757861185ec5e8c0ef6bf0c69fa7832df6c,108087937,"22,604.13",0.0312592%,0.0343746%,NA,"2,829.8721275",,EOA
0x0933f554312c7bcb86df896c46a44ac2381383d1,85909721,"22,221.48",0.0307301%,0.0337927%,NA,"2,781.9676326",,EOA
0x369606edde71fb6ec43353330796544852bad340,91719368,"22,000.00",0.0304238%,0.0334559%,NA,"2,754.2396722",,EOA
0xbc2a0913b30283c2c680cfc332c8d85399228e23,85948226,"21,841.85",0.0302051%,0.0332154%,NA,"2,734.4400287",,EOA
0x5a577dd5a90be0feba8b596e2509289df8cbaff7,82921410,"21,438.43",0.0296472%,0.0326019%,NA,"2,683.9358217",,EOA
0x8615ecb2b27bfde5e48536e25340379e60c04cda,96309341,"21,203.87",0.0293228%,0.0322452%,NA,"2,654.5695295",,EOA
0x3b775b6fb97e1229b82709eefd25b0d33831a738,62105915,"21,004.45",0.0290470%,0.0319419%,NA,"2,629.6037308",,EOA
0x9c57027b1eca93093a6f446422c59c85a5a3fa52,108193636,"20,963.44",0.0289903%,0.0318796%,NA,"2,624.4704818",,EOA
0x2f707265e61300e8290c18e38ebcbd129fb0b0f5,90045538,"20,832.60",0.0288094%,0.0316806%,NA,"2,608.0893443",,EOA
0xbcc181046fd96ccadf0cebe30d4ff67d4373a126,90869856,"20,507.70",0.0283601%,0.0311865%,NA,"2,567.4147246",,EOA
0x37fabdb1d081f0a69ffd2a9525d71cf220041dd4,81674887,"20,296.73",0.0280683%,0.0308657%,NA,"2,541.0033030",,EOA
0x97b342386b4291d22f5bf573715bdc23d38b173f,87535492,"20,103.97",0.0278017%,0.0305725%,NA,"2,516.8700716",,EOA
0x96f249bcf74b349db4b41fc192d25fe84b4520c1,44929811,"20,020.33",0.0276861%,0.0304454%,NA,"2,506.3996680",,EOA
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,85023435,"20,000.00",0.0276580%,0.0304144%,NA,"2,503.8542475",,EOA
0x40f75477bc81a921f830835dda7efec0e7489c62,48150263,"20,000.00",0.0276580%,0.0304144%,NA,"2,503.8542475",,EOA
0xec23615309aa1f56d5d01647e9c5d562ff375ba0,83568006,"19,853.09",0.0274548%,0.0301910%,NA,"2,485.4625095",,EOA
0x203b355b1edeb6242011a620bf50c19a6af4f42b,78883708,"19,828.01",0.0274201%,0.0301529%,NA,"2,482.3228135",,EOA
0x8565faab405b06936014c8b6bd5ab60376cc051b,84701083,"19,580.00",0.0270772%,0.0297757%,NA,"2,451.2733083",,EOA
0x3b202b464616791d2eb1417f9dc40497b6fdd6e9,84548142,"18,878.00",0.0261064%,0.0287082%,NA,"2,363.3880242",,EOA
0x7a03b2e8ace63164896717c1b22647aa450954a7,78274422,"18,549.68",0.0256523%,0.0282089%,NA,"2,322.2841349",,EOA
0x03e9a17304a1c1fe229965616b7dddcd96579a29,48664874,"18,431.36",0.0254887%,0.0280290%,NA,"2,307.4719558",,EOA
0x32f8c8b40b62a73d514e8be0f58074edba533937,81565534,"18,141.24",0.0250875%,0.0275878%,NA,"2,271.1515962",,EOA
0xda764491b90207dc2743f8efc5b28543dc5d857a,29486801,"18,000.00",0.0248922%,0.0273730%,NA,"2,253.4688227",,EOA
0x1993253bf4f1dfdcd0258a324bff554e6a44a385,99870604,"17,945.94",0.0248174%,0.0272908%,NA,"2,246.7005803",,EOA
0x605f302bcd8f53024713282fced7270d95a6fe4c,59241723,"17,645.97",0.0244026%,0.0268346%,NA,"2,209.1469065",,EOA
0x27c7e71aef0dc5cbcf7af511f3abac8ee6845685,87514420,"17,265.34",0.0238762%,0.0262558%,NA,"2,161.4941960",,EOA
0xfda906bd24eb4d7fd31030f692b797cc681306c9,87535469,"16,908.85",0.0233832%,0.0257137%,NA,"2,116.8651239",,EOA
0xad32bc446cc906bfd5f74914f5bd9cbd1443bcd6,84127864,"16,661.12",0.0230406%,0.0253369%,NA,"2,085.8507000",,EOA
0x74c7eeed32c2def8f932053eb2137fb59a28fb17,45855872,"16,585.76",0.0229364%,0.0252223%,NA,"2,076.4165836",,EOA
0x86341e73d9deb4696b1ae50dbce8f2d62fa06023,35474545,"16,533.26",0.0228638%,0.0251425%,NA,"2,069.8431805",,EOA
0x93a79ae91740c54b1221bdb2b44be1cb5eb8ff52,100393360,"16,464.62",0.0227689%,0.0250381%,NA,"2,061.2501767",,EOA
0x0d58c2e7b04aba6b64dd21057af573bc3255e12f,86254203,"16,437.11",0.0227309%,0.0249963%,NA,"2,057.8060462",,EOA
0x862606a6012fa68019ee26ce4a3b35bc2684beb4,91031580,"16,408.93",0.0226919%,0.0249534%,NA,"2,054.2787910",,EOA
0x7795c0475faf6c360c4a5748173c72c4f27424f3,78020606,"16,362.02",0.0226270%,0.0248821%,NA,"2,048.4059040",,EOA
0xdec79cee4397202739ed948ef98846774feb53f9,93167930,"16,230.75",0.0224455%,0.0246825%,NA,"2,031.9718880",,EOA
0x601cc773c1cb38673be5cbc75ecb3a1b2a79afec,86230805,"15,900.93",0.0219894%,0.0241809%,NA,"1,990.6809263",,EOA
