address,seconds until unlock,distribution amount (BPTs)
0x9753dc0c13b3685833756a3cb0006d5ef3e78458,89778289,"1,964.907230091760000000"
0x2ea2ce595bd68a0cd1fd34b06df98970952fe4d2,105975773,"1,947.030887611020000000"
0x58a7ccd4bc5d561b89606909456f23bbfc9aaade,46878726,"1,946.129231603950000000"
0xba4bd1c672f0046ecd6a10273ec77d0bb0c10073,103855886,"1,939.899069723190000000"
0x54cc6c3e1d66155397cd428e65aff3f20fc2cabe,85807931,"1,939.589352792610000000"
0x0f504b06bf14f9584baf9dcbb3caca645b136ba5,50358216,"1,909.492576144480000000"
0x5475f42318884ed62be92b08058845c31c1979f4,51089046,"1,877.890696596110000000"
0x1892b15cece1471494af00e7552693f3facc8ec8,81110045,"1,840.414733496170000000"
0x959d7987d9d03583e801905a95624084a7f16645,50511841,"1,822.158063539250000000"
0x65f26954f3014f4356876cb1806a56258f6965e8,84910578,"1,819.803713769690000000"
0x792110d7bab2273b0c084d4e5a6fddb9f8cd6673,94554194,"1,777.723820247350000000"
0x30cefa3a6b3d8295b141c279dc84012d2a7bc689,84667658,"1,762.900000942160000000"
0xaf65c100ffeba4bc89f0d801d7662c5a6238b481,79553351,"1,761.112135384610000000"
0xcdab32d68706f3648e7edd013ad2f38e76f71040,84496411,"1,744.710774775350000000"
0x52997d5abc01e9bfdd29cccb183ffc60f6d6bf8c,80172401,"1,742.917539502950000000"
0x559524b8d5af5292e4ca30b30ea3dc8261e1dea4,95627576,"1,729.627757638750000000"
0x787b4b7ffef8eddad54f311039acf4c36fec9593,37400260,"1,717.912123937580000000"
0x6ab880afd1e0c7786cc5d05f4fd9b17761768da8,93611220,"1,675.037912470750000000"
0x6792c4e8a9efb4ab04e73e9b1c9bf16b7ccc74c9,84822231,"1,673.395348768120000000"
0x117b9431a2f540c276604f3c3dd52a8fbf586860,47928045,"1,654.480563337090000000"
0xeefd6537adbda7b1a9da3f6607dda26b048489c2,98483201,"1,653.664273019170000000"
0xe546b43e7ff912fef7ed75d69c1d1319595f6080,40798379,"1,648.369838791330000000"
0x5e5ffef1103717f17a9a155d0c7646ec5e16551e,84646344,"1,630.526338744710000000"
0x6e52a3f199b9e2da6f9bce4a395cb015a0c737d9,87888449,"1,627.505270383300000000"
